# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = examples/bernoulli/bernoulli.data.json
# init = 2 (Default)
# random
#   seed = 2436179948 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.954401
# Diagonal elements of inverse mass matrix:
# 0.460874
-6.75258,1,0.954401,2,3,0,7.52436,0.238198
-6.81594,0.981954,0.954401,1,3,0,6.85648,0.29784
-6.87359,0.952523,0.954401,1,3,0,7.10095,0.191101
-7.48082,0.921527,0.954401,2,3,0,7.67114,0.122095
-6.83311,0.986633,0.954401,1,3,0,7.44352,0.200942
-7.27329,0.935387,0.954401,1,3,0,7.30652,0.138418
-6.82853,0.990579,0.954401,1,3,0,7.22414,0.202212
-6.85461,0.994776,0.954401,1,1,0,6.86534,0.195448
-6.84709,1,0.954401,1,1,0,6.87194,0.197292
-7.35825,0.87168,0.954401,1,3,0,7.81997,0.401585
-6.75382,1,0.954401,1,3,0,7.27686,0.263619
-6.98784,0.94939,0.954401,2,3,0,7.12554,0.342417
-7.83473,0.778174,0.954401,1,1,0,7.83691,0.455969
-6.77944,1,0.954401,1,3,0,7.61618,0.28217
-6.83003,0.90511,0.954401,2,3,0,7.38622,0.201792
-6.77506,0.988996,0.954401,1,3,0,6.92482,0.279789
-6.78468,0.987219,0.954401,1,3,0,6.86146,0.217213
-7.09933,0.945838,0.954401,1,3,0,7.13338,0.156093
-7.35118,0.961197,0.954401,1,1,0,7.36316,0.131819
-7.25719,1,0.954401,2,3,0,7.39977,0.139869
-7.11916,1,0.954401,1,1,0,7.26814,0.153816
-7.19948,0.987196,0.954401,1,1,0,7.2457,0.145342
-7.00362,0.914683,0.954401,2,3,0,8.08948,0.345574
-7.66245,0.822938,0.954401,1,1,0,7.67093,0.437952
-6.92012,1,0.954401,2,3,0,7.44681,0.327628
-6.7481,0.998819,0.954401,1,3,0,6.91583,0.251571
-6.75562,0.998731,0.954401,2,3,0,6.75799,0.265614
-6.75009,0.998957,0.954401,1,3,0,6.7631,0.242025
-6.75921,0.996777,0.954401,1,3,0,6.76975,0.269006
-6.77552,0.995929,0.954401,1,1,0,6.77601,0.28005
-6.84241,0.982831,0.954401,1,1,0,6.84264,0.306737
-6.7566,0.992879,0.954401,2,3,0,6.89153,0.266601
-6.90188,0.970253,0.954401,1,3,0,6.9112,0.323204
-7.2299,0.673767,0.954401,2,3,0,9.11131,0.142401
-6.77977,0.993497,0.954401,1,3,0,7.2135,0.219416
-7.09884,0.953416,0.954401,2,3,0,7.19025,0.15615
-7.11553,0.997249,0.954401,1,1,0,7.17667,0.154227
-6.79389,0.967175,0.954401,1,3,0,7.38335,0.289068
-7.60302,0.7372,0.954401,1,3,0,8.37983,0.114061
-6.88754,0.935575,0.954401,1,3,0,8.37863,0.319552
-7.77552,0.859207,0.954401,2,7,0,7.78576,0.104155
-6.74978,1,0.954401,2,3,0,7.57527,0.257465
-6.75088,0.980533,0.954401,2,3,0,6.87526,0.240626
-9.92789,0.380765,0.954401,1,3,0,12.4853,0.0414963
-9.5442,1,0.954401,2,3,0,10.0696,0.0481545
-6.91408,0.980791,0.954401,2,3,0,10.182,0.182958
-6.83089,1,0.954401,1,1,0,6.90056,0.201552
-6.75082,0.999278,0.954401,1,3,0,6.82603,0.240735
-6.75082,0.776519,0.954401,1,3,0,7.9478,0.240735
-6.74813,0.994019,0.954401,2,3,0,6.78996,0.251841
-6.76912,0.996515,0.954401,2,3,0,6.77541,0.276241
-6.85376,0.971645,0.954401,2,3,0,6.96661,0.310189
-7.11217,0.930636,0.954401,1,1,0,7.11445,0.365239
-6.88137,0.92854,0.954401,1,3,0,7.54858,0.189429
-8.33778,0.777,0.954401,1,3,0,8.71729,0.0796346
-7.62026,1,0.954401,1,1,0,8.25837,0.113002
-8.22128,0.977773,0.954401,2,3,0,8.23072,0.0839684
-7.80425,1,0.954401,1,1,0,8.22245,0.102641
-7.18615,0.88953,0.954401,2,3,0,9.53942,0.146674
-6.79736,0.99749,0.954401,2,7,0,7.09555,0.290566
-6.93019,0.818257,0.954401,2,3,0,7.97674,0.180047
-6.81423,0.969379,0.954401,2,7,0,7.15706,0.297214
-7.4733,0.773322,0.954401,1,3,0,8.20984,0.122623
-7.29497,0.864043,0.954401,2,3,0,9.37853,0.136515
-7.21882,1,0.954401,1,1,0,7.34542,0.143457
-6.98842,1,0.954401,1,1,0,7.18448,0.170652
-7.09004,0.98255,0.954401,1,1,0,7.11191,0.157188
-7.04199,1,0.954401,1,1,0,7.12453,0.163185
-7.094,0.852839,0.954401,2,3,0,8.57781,0.156719
-6.92035,1,0.954401,1,1,0,7.06663,0.181806
-6.99625,0.986212,0.954401,1,1,0,7.01276,0.1695
-6.7701,0.981513,0.954401,1,3,0,7.14552,0.276861
-8.88513,0.685965,0.954401,2,7,0,8.88553,0.0628525
-8.57904,1,0.954401,1,1,0,8.99206,0.0715868
-9.2689,0.949277,0.954401,1,1,0,9.31108,0.0537192
-9.63416,0.978241,0.954401,1,1,0,9.78887,0.0464871
-10.8169,0.944664,0.954401,1,1,0,10.8267,0.0297467
-6.8909,0.677004,0.954401,3,7,0,14.6698,0.320421
-6.77948,0.980528,0.954401,1,3,0,7.00981,0.219551
-7.15712,0.961412,0.954401,2,3,0,7.18601,0.372573
-7.14606,1,0.954401,2,7,0,7.14615,0.150853
-6.74855,0.996256,0.954401,1,3,0,7.20322,0.24597
-6.91762,0.960188,0.954401,1,3,0,6.97018,0.182304
-6.83888,0.946792,0.954401,2,3,0,7.45721,0.305624
-10.6424,0.490828,0.954401,2,7,0,10.7485,0.0317213
-9.73109,1,0.954401,1,1,0,10.6429,0.0447664
-10.2025,0.976725,0.954401,1,1,0,10.3464,0.0373835
-7.53585,0.963156,0.954401,2,3,0,11.7486,0.118358
-6.86073,0.984367,0.954401,1,3,0,7.4866,0.194
-6.88711,0.963793,0.954401,1,3,0,7.17656,0.31944
-7.03178,0.883148,0.954401,1,3,0,7.54001,0.164538
-6.91508,0.950462,0.954401,1,3,0,7.51203,0.326429
-6.74816,0.998922,0.954401,1,3,0,6.90978,0.252094
-7.00473,0.962732,0.954401,2,3,0,7.0244,0.168278
-7.31449,0.983324,0.954401,2,3,0,7.3155,0.134847
-7.27262,1,0.954401,1,1,0,7.38832,0.138479
-6.92893,0.988237,0.954401,2,3,0,7.45102,0.180268
-6.85361,1,0.954401,1,1,0,6.92101,0.195688
-6.96717,0.973459,0.954401,2,3,0,7.13257,0.173902
-6.88343,0.959091,0.954401,1,3,0,7.34861,0.318474
-7.09684,0.86012,0.954401,1,3,0,7.6619,0.156385
-8.78866,0.900376,0.954401,2,3,0,8.83863,0.536504
-7.15387,1,0.954401,1,1,0,8.29103,0.372056
-6.76032,0.984812,0.954401,1,3,0,7.23633,0.23075
-6.75725,0.998335,0.954401,2,3,0,6.77737,0.233281
